ID;NAME
1;RANCAGUA
2;LA CALERA
3;LOS ANDES
4;VINA DEL MAR
5;QUILPUE
6;TOCOPILLA
7;VILLA ALEMANA
8;SANTIAGO
9;VALPARAISO
10;CURICO
11;COPIAPO
12;SAN ANTONIO
13;PICHIDEGUA
14;IQUIQUE
15;ANTOFAGASTA
16;COYHAIQUE
17;SAN FELIPE
18;PENAFLOR
19;ARICA
20;LONGAVI
21;CANETE
22;LOS ANGELES
23;TEMUCO
24;ANGOL
25;PUERTO AYSEN
26;LANCO
27;PUERTO MONTT
28;LA SERENA
29;SN.VICENTE T.T.
30;TALCAHUANO
31;CASTRO
32;VALDIVIA
33;FRUTILLAR
34;LOLOL
35;TALCA
36;NUEVA IMPERIAL
37;TRAIGUEN
38;CONCEPCION
39;TIRUA
40;LAUTARO
41;CATEMU
42;LINARES
43;MULCHEN
44;CHILLAN
45;COQUIMBO
46;DGO.DE ALMAGRO
47;FREIRINA
48;SAN FERNANDO
49;HUASCO
50;OVALLE
51;LA UNION
52;OSORNO
53;PUNTA ARENAS
54;COLLIPULLI
55;CALAMA
56;VICTORIA
57;FUTRONO
58;NACIMIENTO
59;LONQUIMAY
60;LAJA
61;MELIPILLA
62;LONTUE
63;LOS LAGOS
64;CONCON
65;CURACAUTIN
66;LUMACO
67;GORBEA
68;QUIRIHUE
69;LLANQUIHUE
70;ANCUD
71;LAS CABRAS
72;GALVARINO
73;TOME
74;QUILLOTA
75;DALCAHUE
76;HUALQUI
77;SANTA BARBARA
78;LOS ALAMOS
79;CONTULMO
80;CAPITAN PASTENE
81;CURANILAHUE
82;FRESIA
83;MAFIL
84;PITRUFQUEN
85;ACHAO
86;PUQUELDON
87;QUELLON
88;RIO NEGRO
89;FUTALEUFU
90;CHIGUAYANTE
91;ILLAPEL
92;PUERTO CISNES
93;PUERTO NATALES
94;RIO BUENO
95;PUCON
96;VALLENAR
97;COIHUECO
98;CABRERO
99;PENCO
100;MARCHIGUE
101;SALAMANCA
102;LLAY-LLAY
103;CAUQUENES
104;ARAUCO
105;SAN CARLOS
106;LIMACHE
107;LOS VILOS
108;PARRAL
109;LOTA
110;CASABLANCA
111;COMBARBALA
112;RENGO
113;CUREPTO
114;PUERTO SAAVEDRA
115;FREIRE
116;MACHALI
117;COCHRANE
118;PERALILLO
119;PAINE
120;PURRANQUE
121;SANTA CRUZ
122;MONTE PATRIA
123;VILLARRICA
124;MOLINA
125;CODEGUA
126;PANGUIPULLI
127;GRANEROS
128;PICHILEMU
129;CORONEL
130;VICUNA
131;CURANIPE
132;PALENA
133;CHONCHI
134;SAN JAVIER
135;EL MELON
136;CHIMBARONGO
137;ALGARROBO
138;DONIHUE
139;CALDERA
140;LOS MUERMOS
141;QUINTERO
142;CALBUCO
143;SN.J.MARIQUINA
144;LA LIGUA
145;CHANARAL
146;TALAGANTE
147;CARTAGENA
148;PAILLACO
149;LO MIRANDA
150;LEBU
151;YUMBEL
152;TUCAPEL
153;SAN PABLO
154;LOS SAUCES
155;SAN BERNARDO
156;QUEILEN
157;PUERTO OCTAY
158;MAULLIN
159;CHILE CHICO
160;LAGO VERDE
161;QUILACO
162;PEUMO
163;RENAICO
164;LONCOCHE
165;CHAITEN
166;PUTAENDO
167;EL QUISCO
168;QUILLECO
169;PINTO
170;CURACAVI
171;CONSTITUCION
172;ISLA DE PASCUA
173;MELIPEUCO
174;COELEMU
