IMPONENTE_ID;PRESTAMO_ID;SALDOS;FECHA_CIERRE;MONTO_CUOTA;NUMERO_CUOTAS;FECHA_VENCIMIENTO
33;1;393742;31/08/2020;33786;18;Set-21
34529;1;361037;31/08/2020;74261;12;Dic-20
1162;1;396250;31/08/2020;33786;18;Ago-21
1355;1;3061028;31/08/2020;275282;18;Jul-21
2205;1;213516;31/08/2020;27871;12;Mar-21
9147;1;224906;31/08/2020;32953;12;Ene-21
2408;1;557253;31/08/2020;141838;12;Nov-20
27543;1;252623;31/08/2020;37592;12;Feb-21
30997;1;1021323;31/08/2020;74249;18;Dic-21
24968;1;222622;31/08/2020;74261;12;Set-20
28952;1;10;31/08/2020;31282;12;Jul-20
25741;1;3;31/08/2020;57046;12;Set-21
16918;1;796628;31/08/2020;75184;12;Mar-21
17236;1;537682;31/08/2020;94826;12;Feb-21
13594;1;331645;31/08/2020;49236;18;Feb-21
37005;1;664339;31/08/2020;51704;18;Ago-21
23183;1;763614;31/08/2020;74244;18;Jun-21
15141;1;259917;31/08/2020;37130;12;Ago-20
14916;1;538477;31/08/2020;57356;18;May-21
15453;1;73892;31/08/2020;74261;12;Set-20
21671;1;33651;31/08/2020;16987;12;Oct-20
70;1;31746;31/08/2020;31747;12;Ago-20
6480;1;239804;31/08/2020;42091;18;Feb-21
31360;1;11;31/08/2020;49940;12;Jun-20
30619;1;588199;31/08/2020;34910;18;Ago-21
11383;1;181163;31/08/2020;37130;12;Dic-20
29204;1;466067;31/08/2020;39670;18;Ago-21
3589;1;890601;31/08/2020;62415;18;Oct-21
36905;1;517467;31/08/2020;43770;18;Ago-21
3806;1;520250;31/08/2020;61611;18;May-21
29945;1;356899;31/08/2020;74261;12;Ene-21
3823;1;1183334;31/08/2020;74249;18;Dic-21
4014;1;267189;31/08/2020;36088;12;Abr-21
22063;1;92133;31/08/2020;46413;12;Oct-20
;1;691362;31/08/2020;75184;12;Jun-21
5132;1;575545;31/08/2020;57161;18;Jul-21
6760;1;2001097;31/08/2020;152069;18;Nov-21
34168;1;333460;31/08/2020;112438;18;Oct-20
4219;1;17;31/08/2020;19941;18;Jun-20
15792;1;212422;31/08/2020;37122;12;Feb-21
;1;408299;31/08/2020;41351;12;Jul-21
4241;1;308098;31/08/2020;32933;18;May-21
13198;1;401911;31/08/2020;37592;12;Feb-21
29648;1;1042425;31/08/2020;97823;18;Jun-21
2806;1;114719;31/08/2020;39298;18;Nov-20
4438;1;29798;31/08/2020;40001;18;Ago-21
17968;1;918276;31/08/2020;116911;12;Mar-21
4444;1;553148;31/08/2020;94683;12;Ene-21
18400;1;222580;31/08/2020;74261;12;Set-20
;1;832701;31/08/2020;75184;12;Jun-21
823;1;198561;31/08/2020;66185;12;Mar-20
21828;1;7;31/08/2020;134718;18;Ago-20
27859;1;378435;31/08/2020;96199;18;Nov-20
1625;1;469610;31/08/2020;37092;18;Set-21
21804;1;727339;31/08/2020;93661;12;Ene-21
14666;1;215686;31/08/2020;55696;12;Dic-20
21979;1;-155895;31/08/2020;51965;18;Mar-21
7266;1;903393;31/08/2020;87755;18;Jun-21
9690;1;1351373;31/08/2020;99705;18;Set-21
;1;802027;31/08/2020;75184;12;Ago-21
13803;1;1654;31/08/2020;74261;12;Set-20
703;1;583860;31/08/2020;48682;12;Jul-21
11314;1;1091588;31/08/2020;143789;12;Mar-21
20491;1;318899;31/08/2020;48776;12;Mar-21
10145;1;1580938;31/08/2020;145722;18;Ago-21
25313;1;509075;31/08/2020;74261;12;Dic-20
2263;1;2321725;31/08/2020;189954;18;Oct-21
22373;1;18511;31/08/2020;18565;12;Set-20
18215;1;145703;31/08/2020;13488;18;Ago-21
10641;1;111223;31/08/2020;28590;12;Dic-20
2500;1;301687;31/08/2020;19901;18;Nov-21
28548;1;71144;31/08/2020;71143;12;Mar-21
6810;1;166281;31/08/2020;55696;12;Oct-20
2718;1;2127464;31/08/2020;188618;12;May-21
2723;1;679433;31/08/2020;66060;18;Jun-21
2748;1;1027568;31/08/2020;99772;18;Jun-21
4103;1;683412;31/08/2020;54282;18;Set-21
12607;1;884809;31/08/2020;81655;18;Ago-21
;1;468022;31/08/2020;56388;12;May-21
2094;1;670557;31/08/2020;97589;18;Mar-22
28049;1;62565;31/08/2020;20979;12;Oct-20
31130;1;362953;31/08/2020;47836;12;Mar-21
2972;1;286776;31/08/2020;74261;12;Dic-20
29065;1;220068;31/08/2020;74261;12;Oct-20
3202;1;156260;31/08/2020;20353;12;Mar-21
17883;1;502503;31/08/2020;66125;18;Mar-21
2687;1;646260;31/08/2020;75184;12;Mar-21
5000;1;146053;31/08/2020;74244;12;Oct-21
4686;1;289922;31/08/2020;74261;12;Dic-20
14524;1;243522;31/08/2020;48919;12;Set-20
21937;1;438690;31/08/2020;74261;12;Dic-20
32962;1;3;31/08/2020;74261;12;Jun-20
8535;1;74263;31/08/2020;74261;12;Nov-19
3864;1;501765;31/08/2020;66320;18;Abr-21
17762;1;260761;31/08/2020;54563;18;Ene-21
893;1;447969;31/08/2020;38943;18;Set-21
29118;1;502030;31/08/2020;75184;12;Feb-21
5190;1;354698;31/08/2020;74261;12;Ene-21
4054;1;51572;31/08/2020;51569;12;Ago-20
3647;1;1003446;31/08/2020;83143;18;Jul-21
21827;1;498016;31/08/2020;75184;12;Mar-21
8822;1;307304;31/08/2020;33062;18;Jun-21
5135;1;93794;31/08/2020;47341;12;Oct-20
4013;1;1873706;31/08/2020;119870;18;Ene-22
7200;1;871193;31/08/2020;75184;12;Mar-21
16027;1;770722;31/08/2020;116920;18;Mar-21
36169;1;667616;31/08/2020;54433;18;Jun-21
2688;1;1109307;31/08/2020;85157;18;Jul-21
