IMPONENTE_ID;SALDOS;FECHA_CIERRE;MONTO_CUOTA
17203;340000;31/08/2020;20000
17686;257130;31/08/2020;13200
24344;510000;31/08/2020;30000
29775;172227;31/08/2020;15657
32520;169659;31/08/2020;7227
7567;0;31/08/2020;0
15100;112664;31/08/2020;5444
485;84108;31/08/2020;10268
12423;118448;31/08/2020;6408
25720;140000;31/08/2020;10000
4749;118316;31/08/2020;6386
11635;97845;31/08/2020;5002
15199;107610;31/08/2020;5522
23738;71331;31/08/2020;13006
25150;118310;31/08/2020;6385
34049;116444;31/08/2020;6074
2031;105220;31/08/2020;5044
21986;126998;31/08/2020;7833
28423;129434;31/08/2020;8239
8181;116734;31/08/2020;8239
4129;83064;31/08/2020;13844
17945;142070;31/08/2020;12414
22923;107762;31/08/2020;10477
30866;61608;31/08/2020;10268
36635;116048;31/08/2020;6008
2687;112003;31/08/2020;6483
3504;38310;31/08/2020;6385
9953;86438;31/08/2020;6923
15735;136760;31/08/2020;9460
21541;80057;31/08/2020;7247
30647;97920;31/08/2020;5195
14532;143780;31/08/2020;10630
29961;85058;31/08/2020;5843
31205;109434;31/08/2020;8239
8368;112664;31/08/2020;5444
5625;124796;31/08/2020;7466
17922;58760;31/08/2020;4690
18362;120908;31/08/2020;6818
29848;133508;31/08/2020;8918
33885;151782;31/08/2020;15297
35761;112664;31/08/2020;5444
35968;116526;31/08/2020;9421
33875;600000;31/08/2020;100000
2352;140084;31/08/2020;10006
3554;140000;31/08/2020;10000
7273;139443;31/08/2020;6111
7274;161029;31/08/2020;6233
23171;128396;31/08/2020;5699
26214;140702;31/08/2020;7193
34892;152848;31/08/2020;6632
35351;210000;31/08/2020;15000
36169;182681;31/08/2020;12452
4846;172900;31/08/2020;12350
8292;176285;31/08/2020;8945
11088;192210;31/08/2020;8015
15770;110552;31/08/2020;5846
19262;16809;31/08/2020;5603
19687;154276;31/08/2020;6734
31803;83915;31/08/2020;6455
2003;88340;31/08/2020;6310
3109;169359;31/08/2020;15605
3558;234845;31/08/2020;16654
6406;239137;31/08/2020;11367
8623;134144;31/08/2020;5296
13285;116802;31/08/2020;8343
13985;146954;31/08/2020;6211
14950;143783;31/08/2020;6265
31983;252900;31/08/2020;12350
8300;192511;31/08/2020;16541
13924;114490;31/08/2020;11449
34882;137762;31/08/2020;6418
21827;163064;31/08/2020;13844
25459;77390;31/08/2020;6265
13340;142110;31/08/2020;6211
14290;144246;31/08/2020;6923
17979;166750;31/08/2020;8675
18307;148455;31/08/2020;8774
24465;131560;31/08/2020;13156
24642;126848;31/08/2020;5856
24948;230000;31/08/2020;15000
25137;132960;31/08/2020;5296
29063;40761;31/08/2020;4529
33724;123477;31/08/2020;6211
12790;180000;31/08/2020;10000
17529;187360;31/08/2020;10736
22501;269708;31/08/2020;34114
24012;0;31/08/2020;0
151;215135;31/08/2020;13932
